material_id,formula,n_elements,crystal_system,spacegroup_number,category,formation_energy_per_atom_eV,energy_above_hull_eV,band_gap_eV,is_metal,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio,density_g_cm3,nsites,volume_A3,melting_point_K,is_stable
mp-121959,Ta3Au3H2,3,hexagonal,185,Chalcogenide,-0.6329,0.0175,1.94,0,26.87,13.47,0.2918,4.343,2,96.38,1142.0,1
mp-23248,Al3Rh4W3,3,hexagonal,171,Alloy,-1.2275,0.2124,0.0,1,50.3,33.94,0.2326,6.757,4,365.02,1244.0,0
mp-526982,Pd3Te3,2,cubic,227,Metal,0.1265,0.0993,0.0,1,256.03,125.93,0.2849,10.501,4,642.24,1178.0,0
mp-984775,Ne4Cd4,2,tetragonal,81,Nitride,-0.4655,0.0534,1.83,0,461.87,233.17,0.2888,1.754,32,820.52,1130.0,0
mp-965909,Al4Rh,2,cubic,202,Nitride,-0.6142,0.0501,1.264,0,187.79,148.0,0.19,3.36,2,87.85,306.0,0
mp-55610,SbCu2Re2,3,trigonal,147,Ceramic,-3.2233,0.0202,2.669,0,89.35,42.88,0.2737,2.55,8,216.28,2136.0,1
mp-547578,Fe4Ba2ScC3,4,tetragonal,97,Silicate,-3.4612,0.0452,7.747,0,113.02,46.53,0.3288,4.042,6,281.56,1362.0,1
mp-720256,Y3Ge2,2,triclinic,1,Ceramic,-3.889,0.0229,1.27,0,291.31,132.2,0.3083,5.304,12,492.65,1930.0,1
mp-755196,W3In,2,cubic,227,Carbide,-0.5275,0.0052,0.979,0,389.79,260.14,0.2393,4.562,8,647.31,2371.0,1
mp-665221,La3Sn4Cu2Nb3,4,tetragonal,79,Boride,0.1697,0.0334,0.784,0,290.24,163.27,0.2511,3.994,8,578.27,200.0,1
mp-211792,Y3Sb3,2,monoclinic,13,Halide,-3.3535,0.0078,2.611,0,15.74,7.31,0.2922,1.155,2,20.23,877.0,1
mp-572204,Bi4Pb2,2,cubic,199,Oxide,-4.1159,0.0174,0.5,0,66.07,33.98,0.2829,3.144,4,105.21,2167.0,1
mp-509931,In3Pd3Nb,3,cubic,227,Semiconductor,-1.3977,0.0947,1.544,0,89.68,64.02,0.1882,2.47,12,352.86,2053.0,0
mp-656283,NAg2Li3,3,orthorhombic,55,Phosphide,-1.3019,0.0749,0.257,0,96.75,52.74,0.2566,1.801,4,71.54,1899.0,0
mp-57546,B3Ne3V4,3,cubic,223,Metal,-1.4629,0.0175,0.0,1,195.3,103.35,0.2838,11.778,4,928.75,200.0,1
mp-686841,Nb4OsSr2,3,cubic,208,Carbide,-0.6808,0.094,0.191,0,409.66,160.48,0.317,2.889,24,1029.59,2089.0,0
mp-518272,Ag,1,orthorhombic,55,Ceramic,-2.5525,0.0019,6.769,0,140.63,61.11,0.3179,5.433,6,383.88,1415.0,1
mp-319279,Al,1,orthorhombic,48,Alloy,0.0,0.4946,0.0,1,177.24,137.37,0.199,9.997,12,1879.76,1528.0,0
mp-324061,Ti,1,tetragonal,94,Perovskite,-4.0201,0.0051,0.44,0,33.06,13.54,0.3278,5.015,4,382.62,1012.0,1
mp-34702,Ga3CoSi2,3,hexagonal,190,Metal,-0.0497,0.0172,0.0,1,107.49,47.92,0.3183,8.701,4,355.53,1351.0,1
mp-128233,BZrMo3,3,tetragonal,103,Nitride,0.0975,0.0405,2.966,0,262.21,186.5,0.2112,7.083,8,644.87,1649.0,1
mp-937487,SeZrBi4,3,trigonal,157,Ceramic,-1.3959,0.0345,7.193,0,164.53,84.99,0.2816,1.437,2,32.07,1699.0,1
mp-678759,Mn3Au4,2,cubic,229,Oxide,-4.8136,0.0198,4.075,0,156.44,71.41,0.3011,5.254,16,1202.52,2637.0,1
mp-885692,Bi3,1,cubic,204,Metal,0.0,0.0229,0.0,1,144.61,112.43,0.203,5.772,6,503.91,2400.0,1
mp-213568,S2Nb,2,monoclinic,12,Semiconductor,-0.653,0.088,1.633,0,63.92,30.99,0.2967,4.282,16,1016.08,275.0,0
mp-462786,MoCa4NbTi2,4,tetragonal,118,Ceramic,-1.9731,0.1816,0.5,0,239.84,92.37,0.3388,4.63,6,460.96,1607.0,0
mp-569668,Ba2OsFLi2,4,triclinic,2,Halide,-4.2287,0.0032,2.354,0,107.71,50.03,0.3075,5.14,12,693.79,629.0,1
mp-550449,Ir3Ta2Ce2,3,cubic,196,Semiconductor,-0.8098,0.0421,1.591,0,114.74,102.55,0.1722,5.389,4,239.26,1825.0,1
mp-68620,In2Ne2,2,orthorhombic,18,Boride,-1.2057,0.0819,0.645,0,184.97,100.8,0.2588,8.783,32,3539.13,1087.0,0
mp-850742,HfTi,2,tetragonal,126,Metal,-0.0396,0.0596,0.0,1,165.52,64.47,0.3326,13.501,6,652.02,864.0,0
mp-497661,Si4AsPt3,3,monoclinic,9,Halide,-3.2898,0.0002,6.15,0,52.89,11.31,0.4008,3.269,2,52.04,1292.0,1
mp-403083,WTa4BaH3,4,orthorhombic,45,Phosphide,-1.5773,0.0156,2.256,0,47.45,15.38,0.3528,5.777,12,899.77,1567.0,1
mp-567830,W4Fe3,2,orthorhombic,46,Oxide,-3.1636,0.0238,2.957,0,33.41,14.31,0.3153,1.952,6,181.51,2929.0,1
mp-932884,V3O,2,tetragonal,125,Silicate,-3.8876,0.0017,3.835,0,16.21,6.83,0.3108,1.66,4,79.14,200.0,1
mp-356993,LiIr3Mo3,3,cubic,218,Semiconductor,0.6178,0.0206,1.746,0,74.74,48.68,0.2306,4.94,32,2376.92,2157.0,1
