date,commodity,mqi,supply_disruption_prob,substitution_elasticity,green_premium_per_kg,carbon_intensity_virgin,carbon_intensity_recycled,herfindahl_index,mqi_5d_trend,mqi_21d_trend,mqi_63d_trend
2014-01-02,Steel_HRC,78.3,0.1809,0.4194,0.149,2.08,0.42,0.0729,,,
2014-01-03,Steel_HRC,77.77,0.1727,0.394,0.147,2.11,0.4,0.0767,,,
2014-01-06,Steel_HRC,77.41,0.1729,0.3967,0.152,2.08,0.39,0.0881,,,
2014-01-07,Steel_HRC,77.09,0.1754,0.4721,0.144,2.16,0.41,0.0758,,,
2014-01-08,Steel_HRC,76.97,0.1793,0.4274,0.149,2.08,0.39,0.0794,,,
2014-01-09,Steel_HRC,76.77,0.1799,0.4115,0.156,2.1,0.4,0.0767,-1.53,,
2014-01-10,Steel_HRC,76.59,0.1808,0.4197,0.145,2.1,0.39,0.0777,-1.18,,
2014-01-13,Steel_HRC,76.53,0.1785,0.4084,0.149,2.14,0.39,0.0846,-0.88,,
2014-01-14,Steel_HRC,75.74,0.1814,0.423,0.153,2.18,0.42,0.0781,-1.35,,
2014-01-15,Steel_HRC,75.94,0.1702,0.447,0.15,2.12,0.4,0.0764,-1.03,,
2014-01-16,Steel_HRC,76.04,0.1772,0.3911,0.151,2.07,0.43,0.0781,-0.73,,
2014-01-17,Steel_HRC,76.14,0.1712,0.4575,0.145,2.1,0.42,0.0776,-0.45,,
2014-01-20,Steel_HRC,76.38,0.1788,0.4199,0.151,2.21,0.41,0.0789,-0.15,,
2014-01-21,Steel_HRC,75.57,0.1937,0.4075,0.145,2.0,0.38,0.0817,-0.17,,
2014-01-22,Steel_HRC,75.54,0.2033,0.4134,0.147,2.13,0.4,0.0769,-0.4,,
2014-01-23,Steel_HRC,76.15,0.2078,0.386,0.152,2.09,0.39,0.0729,0.11,,
2014-01-24,Steel_HRC,75.97,0.2145,0.4154,0.147,2.07,0.4,0.0731,-0.17,,
2014-01-27,Steel_HRC,76.02,0.2274,0.445,0.145,2.12,0.39,0.0795,-0.36,,
2014-01-28,Steel_HRC,75.81,0.2304,0.4256,0.145,2.14,0.39,0.0738,0.24,,
2014-01-29,Steel_HRC,75.85,0.2164,0.3949,0.152,2.08,0.42,0.0749,0.31,,
2014-01-30,Steel_HRC,76.94,0.1967,0.403,0.146,2.08,0.41,0.0772,0.79,,
2014-01-31,Steel_HRC,76.92,0.1998,0.447,0.148,2.09,0.39,0.0845,0.95,-1.38,
2014-02-03,Steel_HRC,76.55,0.2115,0.4234,0.147,2.19,0.39,0.084,0.53,-1.22,
2014-02-04,Steel_HRC,76.37,0.2136,0.431,0.15,2.18,0.39,0.0812,0.56,-1.04,
2014-02-05,Steel_HRC,76.59,0.2026,0.4245,0.152,2.09,0.4,0.0784,0.74,-0.5,
2014-02-06,Steel_HRC,77.82,0.194,0.3829,0.152,2.1,0.42,0.0796,0.88,0.85,
2014-02-07,Steel_HRC,78.74,0.1916,0.4094,0.146,2.04,0.4,0.079,1.82,1.97,
2014-02-10,Steel_HRC,77.92,0.1848,0.4147,0.151,2.13,0.4,0.0792,1.37,1.33,
2014-02-11,Steel_HRC,77.37,0.1733,0.3933,0.144,2.09,0.37,0.0758,1.0,0.84,
2014-02-12,Steel_HRC,77.09,0.1714,0.3842,0.145,2.1,0.4,0.0722,0.5,1.35,
2014-02-13,Steel_HRC,76.56,0.1711,0.4048,0.153,2.13,0.39,0.0817,-1.26,0.62,
2014-02-14,Steel_HRC,77.08,0.1861,0.4283,0.15,2.05,0.37,0.0852,-1.66,1.04,
2014-02-17,Steel_HRC,77.27,0.1818,0.4238,0.153,2.06,0.39,0.0802,-0.65,1.13,
2014-02-18,Steel_HRC,77.36,0.1782,0.4553,0.145,2.08,0.4,0.0777,-0.01,0.98,
2014-02-19,Steel_HRC,78.08,0.1753,0.4275,0.147,2.03,0.4,0.07,0.99,2.51,
2014-02-20,Steel_HRC,78.03,0.18,0.4119,0.15,2.09,0.4,0.0734,1.47,2.49,
2014-02-21,Steel_HRC,78.01,0.1894,0.4208,0.143,2.09,0.4,0.075,0.93,1.86,
2014-02-24,Steel_HRC,78.06,0.1867,0.4158,0.15,2.09,0.4,0.0857,0.79,2.09,
2014-02-25,Steel_HRC,78.29,0.1859,0.4374,0.142,2.06,0.38,0.0814,0.93,2.27,
2014-02-26,Steel_HRC,78.44,0.2003,0.4372,0.158,2.05,0.41,0.0845,0.36,2.63,
2014-02-27,Steel_HRC,78.19,0.1999,0.4203,0.159,2.05,0.41,0.0811,0.16,2.34,
2014-02-28,Steel_HRC,77.68,0.1904,0.4159,0.145,2.0,0.41,0.0858,-0.33,0.74,
2014-03-03,Steel_HRC,77.03,0.1991,0.4231,0.146,2.11,0.39,0.0834,-1.03,0.11,
2014-03-04,Steel_HRC,77.12,0.2133,0.3912,0.155,2.12,0.4,0.0821,-1.17,0.57,
2014-03-05,Steel_HRC,76.36,0.2257,0.4399,0.149,2.2,0.4,0.0737,-2.08,-0.01,
2014-03-06,Steel_HRC,75.85,0.2196,0.3958,0.15,2.1,0.41,0.0823,-2.34,-0.74,
2014-03-07,Steel_HRC,76.16,0.2204,0.448,0.152,2.08,0.39,0.0805,-1.52,-1.66,
2014-03-10,Steel_HRC,76.69,0.217,0.4175,0.151,2.14,0.41,0.0868,-0.34,-2.05,
2014-03-11,Steel_HRC,76.62,0.2328,0.4275,0.151,2.06,0.41,0.0874,-0.5,-1.3,
2014-03-12,Steel_HRC,75.88,0.232,0.3907,0.148,2.12,0.41,0.0853,-0.48,-1.49,
2014-03-13,Steel_HRC,76.44,0.2341,0.4237,0.158,2.06,0.41,0.0786,0.59,-0.65,
2014-03-14,Steel_HRC,76.23,0.2253,0.4121,0.153,2.07,0.38,0.0758,0.07,-0.33,
2014-03-17,Steel_HRC,76.7,0.2152,0.3955,0.152,2.08,0.4,0.0845,0.01,-0.38,
2014-03-18,Steel_HRC,76.28,0.2096,0.4113,0.145,2.1,0.39,0.08,-0.34,-0.99,
2014-03-19,Steel_HRC,76.4,0.2088,0.4483,0.153,2.13,0.4,0.0841,0.52,-0.96,
2014-03-20,Steel_HRC,76.03,0.2134,0.4307,0.15,2.02,0.38,0.0844,-0.41,-2.05,
2014-03-21,Steel_HRC,75.73,0.2207,0.4229,0.149,2.02,0.4,0.086,-0.5,-2.3,
2014-03-24,Steel_HRC,75.78,0.2043,0.4297,0.147,1.99,0.4,0.0809,-0.92,-2.23,
2014-03-25,Steel_HRC,75.62,0.2053,0.4405,0.144,2.14,0.4,0.0858,-0.66,-2.44,
2014-03-26,Steel_HRC,75.89,0.2053,0.4607,0.152,2.11,0.43,0.0747,-0.51,-2.4,
2014-03-27,Steel_HRC,75.5,0.2201,0.4281,0.153,2.08,0.39,0.0753,-0.53,-2.94,
2014-03-28,Steel_HRC,75.89,0.2156,0.4061,0.158,2.13,0.41,0.0763,0.16,-2.3,
2014-03-31,Steel_HRC,75.5,0.2138,0.4117,0.148,2.08,0.43,0.0744,-0.28,-2.18,
2014-04-01,Steel_HRC,75.33,0.2052,0.4447,0.147,2.07,0.38,0.0718,-0.29,-1.7,-2.97
2014-04-02,Steel_HRC,74.72,0.2222,0.4093,0.152,2.11,0.4,0.0817,-1.17,-2.4,-3.05
2014-04-03,Steel_HRC,74.64,0.2144,0.4095,0.148,2.1,0.39,0.0734,-0.86,-1.72,-2.77
2014-04-04,Steel_HRC,74.63,0.2185,0.4129,0.155,2.13,0.39,0.0742,-1.26,-1.22,-2.46
2014-04-07,Steel_HRC,74.41,0.2162,0.4242,0.157,2.09,0.4,0.0691,-1.09,-1.75,-2.56
2014-04-08,Steel_HRC,74.68,0.2171,0.4288,0.154,2.17,0.41,0.0779,-0.65,-2.01,-2.09
2014-04-09,Steel_HRC,74.88,0.2042,0.4463,0.146,2.14,0.4,0.0785,0.16,-1.74,-1.71
2014-04-10,Steel_HRC,74.42,0.2016,0.3937,0.153,2.07,0.41,0.0812,-0.22,-1.46,-2.11
2014-04-11,Steel_HRC,74.93,0.1874,0.4133,0.156,2.04,0.42,0.08,0.3,-1.51,-0.81
2014-04-14,Steel_HRC,75.39,0.1792,0.4282,0.149,2.1,0.39,0.0807,0.98,-0.84,-0.55
2014-04-15,Steel_HRC,74.72,0.1887,0.4192,0.152,2.11,0.38,0.0784,0.04,-1.98,-1.32
2014-04-16,Steel_HRC,73.83,0.1918,0.4269,0.145,2.1,0.4,0.0779,-1.05,-2.45,-2.31
