date,element,price_usd_per_kg,base_price,monthly_return
2014-01-01,Fe,0.1,0.1,0.2582
2014-02-01,Fe,0.1,0.1,-0.1884
2014-03-01,Fe,0.1,0.1,-0.2059
2014-04-01,Fe,0.1,0.1,0.1039
2014-05-01,Fe,0.1,0.1,0.0687
2014-06-01,Fe,0.1,0.1,0.0022
2014-07-01,Fe,0.1,0.1,0.1969
2014-08-01,Fe,0.1,0.1,-0.1088
2014-09-01,Fe,0.1,0.1,0.3149
2014-10-01,Fe,0.1,0.1,-0.1801
2014-11-01,Fe,0.1,0.1,-0.1516
2014-12-01,Fe,0.1,0.1,0.2142
2015-01-01,Fe,0.1,0.1,0.2496
2015-02-01,Fe,0.1,0.1,0.0121
2015-03-01,Fe,0.1,0.1,0.015
2015-04-01,Fe,0.1,0.1,-0.129
2015-05-01,Fe,0.1,0.1,0.0384
2015-06-01,Fe,0.1,0.1,0.1778
2015-07-01,Fe,0.1,0.1,-0.3325
2015-08-01,Fe,0.1,0.1,0.1806
2015-09-01,Fe,0.1,0.1,0.0522
2015-10-01,Fe,0.1,0.1,0.0328
2015-11-01,Fe,0.1,0.1,0.2904
2015-12-01,Fe,0.1,0.1,0.1787
2016-01-01,Fe,0.1,0.1,0.2633
2016-02-01,Fe,0.1,0.1,-0.0653
2016-03-01,Fe,0.1,0.1,-0.0473
2016-04-01,Fe,0.1,0.1,-0.139
2016-05-01,Fe,0.1,0.1,0.2815
2016-06-01,Fe,0.1,0.1,0.02
2016-07-01,Fe,0.1,0.1,-0.104
2016-08-01,Fe,0.1,0.1,-0.1239
2016-09-01,Fe,0.1,0.1,0.2001
2016-10-01,Fe,0.1,0.1,-0.3792
2016-11-01,Fe,0.1,0.1,0.1628
2016-12-01,Fe,0.1,0.1,0.238
2017-01-01,Fe,0.1,0.1,0.136
2017-02-01,Fe,0.1,0.1,0.5236
2017-03-01,Fe,0.1,0.1,0.1362
2017-04-01,Fe,0.1,0.1,-0.0627
2017-05-01,Fe,0.1,0.1,-0.0102
2017-06-01,Fe,0.1,0.1,0.1141
2017-07-01,Fe,0.1,0.1,-0.2806
2017-08-01,Fe,0.1,0.1,-0.1035
2017-09-01,Fe,0.1,0.1,0.0268
2017-10-01,Fe,0.1,0.1,-0.0301
2017-11-01,Fe,0.09,0.1,-0.0085
2017-12-01,Fe,0.09,0.1,-0.1418
2018-01-01,Fe,0.09,0.1,0.0952
2018-02-01,Fe,0.09,0.1,-0.0111
2018-03-01,Fe,0.09,0.1,-0.2386
2018-04-01,Fe,0.09,0.1,-0.1564
2018-05-01,Fe,0.09,0.1,0.1989
2018-06-01,Fe,0.09,0.1,-0.2458
2018-07-01,Fe,0.09,0.1,0.3603
2018-08-01,Fe,0.09,0.1,-0.0512
2018-09-01,Fe,0.09,0.1,-0.0192
2018-10-01,Fe,0.09,0.1,0.088
2018-11-01,Fe,0.09,0.1,-0.065
2018-12-01,Fe,0.09,0.1,-0.1662
2019-01-01,Fe,0.09,0.1,-0.1629
2019-02-01,Fe,0.09,0.1,-0.0868
2019-03-01,Fe,0.09,0.1,0.0972
2019-04-01,Fe,0.09,0.1,-0.0465
2019-05-01,Fe,0.09,0.1,-0.1694
2019-06-01,Fe,0.09,0.1,-0.1746
2019-07-01,Fe,0.09,0.1,-0.1393
2019-08-01,Fe,0.1,0.1,-0.0991
2019-09-01,Fe,0.09,0.1,0.1683
2019-10-01,Fe,0.09,0.1,0.076
2019-11-01,Fe,0.09,0.1,0.2905
2019-12-01,Fe,0.1,0.1,0.0197
2020-01-01,Fe,0.1,0.1,0.0519
2020-02-01,Fe,0.1,0.1,-0.1504
2020-03-01,Fe,0.1,0.1,0.1379
2020-04-01,Fe,0.1,0.1,0.252
2020-05-01,Fe,0.1,0.1,0.1307
2020-06-01,Fe,0.09,0.1,-0.0314
2020-07-01,Fe,0.09,0.1,-0.3751
2020-08-01,Fe,0.09,0.1,0.2737
2020-09-01,Fe,0.09,0.1,0.0964
2020-10-01,Fe,0.1,0.1,-0.2483
2020-11-01,Fe,0.1,0.1,-0.118
2020-12-01,Fe,0.1,0.1,0.027
2021-01-01,Fe,0.1,0.1,0.0339
2021-02-01,Fe,0.1,0.1,-0.0612
2021-03-01,Fe,0.1,0.1,-0.2073
2021-04-01,Fe,0.1,0.1,-0.1336
2021-05-01,Fe,0.1,0.1,0.2854
2021-06-01,Fe,0.1,0.1,-0.2047
2021-07-01,Fe,0.1,0.1,-0.1821
2021-08-01,Fe,0.1,0.1,0.082
2021-09-01,Fe,0.1,0.1,0.2894
2021-10-01,Fe,0.1,0.1,-0.0416
2021-11-01,Fe,0.1,0.1,0.0
2021-12-01,Fe,0.1,0.1,0.1352
2022-01-01,Fe,0.1,0.1,-0.3485
2022-02-01,Fe,0.1,0.1,-0.158
2022-03-01,Fe,0.1,0.1,-0.0208
2022-04-01,Fe,0.1,0.1,-0.0146
2022-05-01,Fe,0.1,0.1,-0.0175
2022-06-01,Fe,0.1,0.1,-0.1083
2022-07-01,Fe,0.1,0.1,-0.0266
2022-08-01,Fe,0.1,0.1,0.1726
