event_id,event_year,structure_type,material,location,corrosion_environment,age_at_event_years,corrosion_rate_mm_yr,failure_mode,severity,replacement_value_USD,repair_cost_USD,loss_ratio,detected_by,was_predicted,warning_lead_months,insurance_claim_filed,regulatory_action
FE-00001,2014,Pipeline,FRP Composite,Industrial Michigan,Moderate,22,0.0865,Fatigue crack,Minor,475093.0,27378.0,0.0576,Sensor alert,0,0,1,0
FE-00002,2022,Pipeline,Stainless Steel 316L,Rural South,Mild,43,0.007,Buckling,Catastrophic,2766322.0,3998388.0,1.4454,Public report,0,0,1,0
FE-00003,2018,Building,Steel (A514 HY),Industrial Michigan,Moderate,31,0.0673,Fatigue crack,Major,3105402.0,1144422.0,0.3685,Emergency,0,0,1,1
FE-00004,2023,Bridge,Reinforced Concrete,Coastal Carolina,Severe,39,0.0892,Corrosion,Major,3581022.0,1844080.0,0.515,Routine inspection,0,0,1,0
FE-00005,2019,Bridge,Reinforced Concrete,Urban West,Mild,68,0.0553,Brittle fracture,Major,1202428.0,801472.0,0.6665,Routine inspection,0,0,1,1
FE-00006,2008,Bridge,Reinforced Concrete,Coastal Florida,Severe,32,0.144,Overload,Moderate,2305782.0,517342.0,0.2244,Load test,0,0,1,0
FE-00007,2008,Building,Steel (A36),Coastal Carolina,Severe,46,0.1022,Fatigue crack,Moderate,307661.0,32429.0,0.1054,Public report,0,0,0,0
FE-00008,2013,Bridge,Steel (A36),Rural Mountain,Mild,34,0.0235,Buckling,Major,902185.0,645029.0,0.715,Sensor alert,0,0,0,1
FE-00009,2020,Power Plant,Steel (A514 HY),Industrial Ohio,Moderate,65,0.0636,Corrosion,Moderate,262542.0,50094.0,0.1908,Sensor alert,1,17,1,0
FE-00010,2005,Bridge,Reinforced Concrete,Coastal Florida,Severe,61,0.0931,Settlement,Moderate,750375.0,127788.0,0.1703,Sensor alert,0,0,0,0
FE-00011,2023,Pipeline,Steel (A36),Pacific Northwest,Mild,30,0.0462,Brittle fracture,Minor,909386.0,44208.0,0.0486,Routine inspection,0,0,0,0
FE-00012,2021,Bridge,Steel (A36),Rural South,Mild,52,0.0332,Fatigue crack,Catastrophic,2373004.0,3018091.0,1.2718,Sensor alert,0,0,1,0
FE-00013,2013,Building,Reinforced Concrete,Rural Midwest,Mild,55,0.0347,Corrosion,Catastrophic,2108117.0,2740437.0,1.2999,Load test,0,0,1,1
FE-00014,2018,Bridge,Steel (A588 Weathering),Desert Southwest,Mild,37,0.0093,Overload,Major,1772703.0,466059.0,0.2629,Routine inspection,1,19,0,0
FE-00015,2012,Power Plant,Aluminium Alloy,Urban Northeast,Moderate,19,0.0423,Corrosion,Moderate,215987.0,32655.0,0.1512,Emergency,0,0,0,0
FE-00016,2021,Building,Reinforced Concrete,Urban Northeast,Moderate,54,0.0371,Brittle fracture,Minor,1179328.0,38666.0,0.0328,Routine inspection,0,0,1,0
FE-00017,2014,Bridge,Prestressed Concrete,Pacific Northwest,Mild,54,0.0341,Fatigue crack,Catastrophic,2565902.0,1461227.0,0.5695,Routine inspection,0,0,0,1
FE-00018,2022,Power Plant,Steel (A36),Urban Midwest,Moderate,32,0.063,Settlement,Moderate,658025.0,142987.0,0.2173,Sensor alert,0,0,1,0
FE-00019,2022,Pipeline,Steel (A588 Weathering),Coastal Texas,Severe,57,0.0643,Buckling,Minor,8879237.0,487798.0,0.0549,Routine inspection,0,0,0,0
FE-00020,2018,Building,Prestressed Concrete,Coastal Texas,Severe,45,0.0923,Corrosion,Moderate,8859573.0,1077631.0,0.1216,Sensor alert,0,0,1,0
FE-00021,2022,Pipeline,Steel (A588 Weathering),Industrial Ohio,Moderate,38,0.0286,Overload,Minor,7287924.0,320407.0,0.044,Routine inspection,0,0,1,0
FE-00022,2020,Bridge,Prestressed Concrete,Coastal Florida,Severe,67,0.1335,Brittle fracture,Minor,10020892.0,638809.0,0.0637,Routine inspection,0,0,1,0
FE-00023,2018,Pipeline,Steel (A36),Rural Midwest,Mild,42,0.0433,Corrosion,Moderate,650029.0,167870.0,0.2582,Public report,0,0,0,0
FE-00024,2017,Bridge,Reinforced Concrete,Coastal Texas,Severe,73,0.0818,Fatigue crack,Moderate,405805.0,59721.0,0.1472,Routine inspection,1,20,1,0
FE-00025,2017,Bridge,Reinforced Concrete,Rural South,Mild,50,0.0463,Corrosion,Minor,2101163.0,56621.0,0.0269,Routine inspection,0,0,1,0
FE-00026,2009,Bridge,Steel (A36),Rural South,Mild,34,0.0222,Corrosion,Moderate,372395.0,95528.0,0.2565,Routine inspection,1,23,1,0
FE-00027,2021,Pipeline,Reinforced Concrete,Urban West,Mild,26,0.0249,Buckling,Catastrophic,421868.0,307232.0,0.7283,Emergency,0,0,1,0
FE-00028,2010,Bridge,Prestressed Concrete,Pacific Northwest,Mild,79,0.0411,Overload,Moderate,2312369.0,518647.0,0.2243,Routine inspection,0,0,1,0
FE-00029,2005,Bridge,Steel (A514 HY),Coastal Carolina,Severe,52,0.0832,Corrosion,Minor,1997478.0,60619.0,0.0303,Sensor alert,0,0,1,0
FE-00030,2022,Pipeline,Steel (A514 HY),Coastal California,Moderate,57,0.0672,Brittle fracture,Moderate,1570922.0,443154.0,0.2821,Routine inspection,1,9,1,0
FE-00031,2022,Bridge,Reinforced Concrete,Industrial Michigan,Moderate,49,0.0696,Corrosion,Minor,648769.0,23031.0,0.0355,Routine inspection,0,0,1,0
FE-00032,2009,Power Plant,Reinforced Concrete,Rural Midwest,Mild,40,0.0172,Corrosion,Moderate,658775.0,153468.0,0.233,Emergency,0,0,1,0
FE-00033,2014,Pipeline,Aluminium Alloy,Coastal Texas,Severe,59,0.0465,Brittle fracture,Moderate,460674.0,100718.0,0.2186,Routine inspection,1,25,1,0
FE-00034,2019,Bridge,Prestressed Concrete,Coastal California,Moderate,64,0.0546,Fatigue crack,Minor,837966.0,60962.0,0.0727,Public report,0,0,0,0
FE-00035,2014,Bridge,Prestressed Concrete,Industrial Ohio,Moderate,29,0.0649,Fatigue crack,Minor,9279060.0,339236.0,0.0366,Sensor alert,0,0,0,0
FE-00036,2017,Pipeline,Composite Steel-Concrete,Coastal Florida,Severe,54,0.0766,Corrosion,Major,2340747.0,666625.0,0.2848,Emergency,0,0,0,1
FE-00037,2022,Building,Steel (A36),Coastal Texas,Severe,23,0.1309,Brittle fracture,Minor,2221342.0,164455.0,0.074,Sensor alert,0,0,1,0
